SYMBOL,Gene,Feature
FCHO1,ENSG00000130475,ENST00000602111
FCHO1,ENSG00000130475,ENST00000593833
FCHO1,ENSG00000130475,ENST00000595549
FCHO1,ENSG00000130475,ENST00000596507
FCHO1,ENSG00000130475,ENST00000596522
FCHO1,ENSG00000130475,ENST00000594202
FCHO1,ENSG00000130475,ENST00000594068
FCHO1,ENSG00000130475,ENST00000595594
FCHO1,ENSG00000130475,ENST00000597076
FCHO1,ENSG00000130475,ENST00000596536
LENG8,ENSG00000167615,ENST00000616932
LENG8,ENSG00000167615,ENST00000421200
LENG8,ENSG00000167615,ENST00000443957
LENG8,ENSG00000167615,ENST00000436479
LENG8,ENSG00000167615,ENST00000376514
LENG8,ENSG00000167615,ENST00000439657
LENG8,ENSG00000167615,ENST00000610347
LENG8,ENSG00000167615,ENST00000326764
LENG8,ENSG00000167615,ENST00000462541
DIDO1,ENSG00000101191,ENST00000395340
DIDO1,ENSG00000101191,ENST00000395343
DIDO1,ENSG00000101191,ENST00000266070
BACE2,ENSG00000182240,ENST00000328735
BACE2,ENSG00000182240,ENST00000347667
PLAC4,ENSG00000225745,ENST00000430327
PLAC4,ENSG00000280109,ENST00000623119
PLAC4,ENSG00000280109,ENST00000624999
PLAC4,ENSG00000225745,ENST00000414699
BACE2,ENSG00000182240,ENST00000330333
BACE2-IT1,ENSG00000224388,ENST00000433378
PLAC4,ENSG00000225745,ENST00000440221
CU104787.1,ENSG00000280363,ENST00000623473
BAGE5,ENSG00000279973,ENST00000624155
,,ENSR00001966978
MYO18B,ENSG00000133454,ENST00000335473
MYO18B,ENSG00000133454,ENST00000539302
MYO18B,ENSG00000133454,ENST00000543971
MYO18B,ENSG00000133454,ENST00000536101
MYO18B,ENSG00000133454,ENST00000418374
MYO18B,ENSG00000133454,ENST00000407587
ARSA,ENSG00000100299,ENST00000610191
ARSA,ENSG00000100299,ENST00000453344
ARSA,ENSG00000100299,ENST00000216124
ARSA,ENSG00000100299,ENST00000551731
ARSA,ENSG00000100299,ENST00000395619
ARSA,ENSG00000100299,ENST00000356098
ARSA,ENSG00000100299,ENST00000608497
ARSA,ENSG00000100299,ENST00000395621
NUDT10,ENSG00000122824,ENST00000376006
NUDT10,ENSG00000122824,ENST00000356450
,,ENSR00002135450
TNFRSF1B,ENSG00000028137,ENST00000536782
TNFRSF1B,ENSG00000028137,ENST00000489921
TNFRSF1B,ENSG00000028137,ENST00000376259
MIR4632,ENSG00000263676,ENST00000584158
TNFRSF1B,ENSG00000028137,ENST00000492361
STX12,ENSG00000117758,ENST00000472285
STX12,ENSG00000117758,ENST00000373943
RP3-426I6.6,ENSG00000270031,ENST00000602843
RNU6-1245P,ENSG00000223062,ENST00000411130
ITGA10,ENSG00000143127,ENST00000369304
ITGA10,ENSG00000143127,ENST00000539363
RP11-315I20.3,ENSG00000244619,ENST00000415065
LPIN1,ENSG00000134324,ENST00000396097
LPIN1,ENSG00000134324,ENST00000425416
LPIN1,ENSG00000134324,ENST00000475922
LPIN1,ENSG00000134324,ENST00000396099
LPIN1,ENSG00000134324,ENST00000256720
LPIN1,ENSG00000134324,ENST00000449576
LPIN1,ENSG00000134324,ENST00000404113
LPIN1,ENSG00000134324,ENST00000487576
,,ENSR00001919208
ITSN2,ENSG00000198399,ENST00000479575
AC009228.1,ENSG00000242628,ENST00000413989
AC009228.1,ENSG00000242628,ENST00000430105
ITSN2,ENSG00000198399,ENST00000427234
ITSN2,ENSG00000198399,ENST00000361999
ITSN2,ENSG00000198399,ENST00000449392
AC009228.1,ENSG00000242628,ENST00000413254
ITSN2,ENSG00000198399,ENST00000355123
ITSN2,ENSG00000198399,ENST00000622089
ITSN2,ENSG00000198399,ENST00000478720
